kol_id,kol_name,platform,followers,field,price,avg_likes,avg_comments,engagement_rate,conversion_rate,audience,cooperation_count,risk_note
KOL_059,健身瑜伽教学,小红书,88000,健身/瑜伽,2700,3600,210,3.9,3.8,女性、20-40岁,24,数据真实
KOL_060,母婴辅食制作,抖音,128000,母婴/辅食,4100,5500,340,4.1,4.0,宝妈、6个月-3岁孩子家长,46,无风险
KOL_061,职场Excel技巧,B站,135000,职场/技能,4200,5600,350,4.1,3.6,职场人士、办公人员,33,数据真实
KOL_062,校园恋爱日记,小红书,70000,校园/情感,1700,2550,150,3.8,3.2,大学生、18-24岁,15,广告比例较高
KOL_063,美妆底妆教程,抖音,158000,美妆/底妆,4900,6400,400,4.2,3.9,18-30岁女性,50,数据真实
KOL_064,科技手机评测,B站,205000,科技/手机,6500,8500,540,4.3,3.4,科技爱好者、换机人群,46,无风险
KOL_065,美食甜品制作,小红书,82000,美食/甜品,2550,3350,195,3.9,3.6,美食爱好者、烘焙爱好者,23,数据真实
KOL_066,大学生实习经验,小红书,63000,校园/实习,1550,2300,135,3.7,3.4,大学生、大三大四,13,无风险
KOL_067,职场领导力,微博,118000,职场/管理,3700,4900,300,3.9,3.2,管理者、30-45岁,25,数据真实
KOL_068,旅行自驾游,抖音,105000,旅游/自驾,3300,4400,270,4.0,2.9,自驾爱好者、25-45岁,28,无风险
KOL_069,健身增肌指南,抖音,98000,健身/增肌,3000,4000,240,3.9,3.7,健身人群、男性为主,26,数据真实
KOL_070,母婴睡眠训练,小红书,115000,母婴/睡眠,3700,4900,300,4.0,3.9,宝妈、0-2岁孩子家长,40,无风险
KOL_071,应届生职业规划,B站,118000,职场/规划,3800,5100,320,4.0,3.8,应届生、职场新人,29,数据真实
KOL_072,校园学习方法,小红书,59000,校园/学习,1450,2150,125,3.7,3.3,大学生、高中生,11,无风险
KOL_073,美妆眼妆教程,小红书,122000,美妆/眼妆,3900,5100,310,4.1,3.9,18-30岁女性,46,数据真实
KOL_074,科技电脑配置,B站,178000,科技/电脑,5600,7400,460,4.2,3.3,游戏玩家、学生,42,无风险
KOL_075,美食家常菜,抖音,90000,美食/家常菜,2800,3700,215,4.0,3.6,家庭主妇、上班族,26,数据真实
KOL_076,大学生毕业季,抖音,64000,校园/毕业,1600,2350,140,3.7,3.2,大四学生、毕业生,14,无风险
KOL_077,职场心理调节,小红书,102000,职场/心理,3150,4100,245,3.9,3.3,职场人士、25-40岁,28,数据真实
KOL_078,旅行海岛度假,小红书,108000,旅游/海岛,3600,4700,285,4.0,2.8,旅游爱好者、度假人群,30,无风险
KOL_079,健身普拉提,小红书,85000,健身/普拉提,2600,3450,200,3.9,3.8,女性、25-40岁,23,数据真实
KOL_080,母婴玩具推荐,抖音,132000,母婴/玩具,4200,5600,350,4.1,4.0,宝妈、1-6岁孩子家长,47,无风险
KOL_081,职场PPT技巧,B站,125000,职场/技能,3950,5300,330,4.0,3.6,职场人士、办公人员,31,数据真实
KOL_082,校园军训日记,抖音,52000,校园/军训,1280,1900,110,3.6,3.0,大一新生、18-20岁,9,无风险
KOL_083,美妆口红试色,小红书,145000,美妆/口红,4600,6000,370,4.2,3.9,18-30岁女性,52,数据真实
KOL_084,科技耳机测评,B站,162000,科技/耳机,5100,6800,420,4.2,3.4,音乐爱好者、学生,38,无风险
KOL_085,美食火锅探店,抖音,96000,美食/火锅,3000,3950,235,4.0,3.6,美食爱好者、20-35岁,27,数据真实
KOL_086,大学生奖学金攻略,小红书,57000,校园/奖学金,1400,2080,122,3.6,3.3,大学生、18-23岁,10,无风险
KOL_087,职场转行指南,小红书,108000,职场/转行,3400,4500,275,3.9,3.4,职场人士、转行者,29,数据真实
KOL_088,旅行古镇游,小红书,92000,旅游/古镇,2900,3800,230,3.9,3.0,旅游爱好者、文艺青年,25,无风险
KOL_089,健身拉伸教学,抖音,78000,健身/拉伸,2400,3200,185,3.9,3.7,健身人群、办公人群,22,数据真实
KOL_090,母婴绘本推荐,小红书,120000,母婴/绘本,3850,5100,315,4.0,3.9,宝妈、2-8岁孩子家长,42,无风险
